field_count,name,habitat,mon,year,sex,age,soil,slope,aspect,origarea,agescale,slopescale,aspectscale,origareascale
0,George,Pasture,Apr,2010,male,4,AminDW,7.4,208.9,3.9046,-0.555620328,0.467799931,40.97620825,0.450317372
1,George,Pasture,Apr,2010,male,3,AminDP,5.72,161.13,3.0953,-1.555620328,-1.212200069,-6.793791747,-0.358982628
0,George,Human,Apr,2010,male,4,AminDP,6.19,144.21,1.1258,-0.555620328,-0.742200069,-23.71379175,-2.328482628
0,George,Uncultivated,Apr,2010,male,4,AminDP,3.74,240.71,0.1058,-0.555620328,-3.192200069,72.78620825,-3.348482628
0,George,Human,Apr,2010,male,4,AminDW,6.68,143.3,0.3066,-0.555620328,-0.252200069,-24.62379175,-3.147682628
0,George,Unknown,Apr,2010,male,4,AminDW,5.37,211.83,0.7486,-0.555620328,-1.562200069,43.90620825,-2.705682628
14,George,Pasture,Apr,2010,male,3,AminSP,7.12,198.9,1.7247,-1.555620328,0.187799931,30.97620825,-1.729582628
37,George,Pasture,Apr,2010,male,3,AminSP,5.12,137.5,4.1818,-1.555620328,-1.812200069,-30.42379175,0.727517372
0,George,Woodland,Apr,2010,male,4,AminSP,10.3,45.73,1.1607,-0.555620328,3.367799931,-122.1937917,-2.293582628
0,George,Pasture,Apr,2010,male,4,AminDP,1.35,329.04,0.1066,-0.555620328,-5.582200069,161.1162083,-3.347682628
0,George,Human,Apr,2010,male,4,AminDP,4.25,294.09,0.1916,-0.555620328,-2.682200069,126.1662083,-3.262682628
1,George,Pasture,Apr,2010,male,3,AminDP,6.41,223.89,2.9154,-1.555620328,-0.522200069,55.96620825,-0.538882628
2,Ray,Pasture,Apr,2010,male,2,AminSP,4.45,151.44,7.5657,-2.555620328,-2.482200069,-16.48379175,4.111417372
7,Ray,Pasture,Apr,2010,male,2,AlluvMIN,3.98,246.7,3.7482,-2.555620328,-2.952200069,78.77620825,0.293917372
0,Ray,Pasture,Apr,2010,male,3,AminDP,8.68,109.44,2.5117,-1.555620328,1.747799931,-58.48379175,-0.942582628
0,Ray,Pasture,Apr,2010,male,3,AminDP,7.26,228.36,2.2019,-1.555620328,0.327799931,60.43620825,-1.252382628
0,Ray,Arable,Apr,2010,male,3,AminDP,5.48,217.45,2.0749,-1.555620328,-1.452200069,49.52620825,-1.379382628
0,Ray,Pasture,Apr,2010,male,3,AminDP,5.91,192.47,6.1116,-1.555620328,-1.022200069,24.54620825,2.657317372
1,Ray,Pasture,Apr,2010,male,2,AminDP,8.21,144.21,1.8086,-2.555620328,1.277799931,-23.71379175,-1.645682628
0,Ray,Human,Apr,2010,male,3,AminDP,6.51,245.97,0.2097,-1.555620328,-0.422200069,78.04620825,-3.244582628
2,Ray,Pasture,Apr,2010,male,2,AminDP,5.72,161.13,3.0953,-2.555620328,-1.212200069,-6.793791747,-0.358982628
0,Ray,Pasture,Apr,2010,male,3,AlluvMIN,3.02,144.35,2.3436,-1.555620328,-3.912200069,-23.57379175,-1.110682628
0,Ray,REPS Habitat,Apr,2010,male,3,AminDP,6.18,258.54,0.5706,-1.555620328,-0.752200069,90.61620825,-2.883682628
0,Ray,Pasture,Apr,2010,male,3,AminSW,12.09,247.7,2.7573,-1.555620328,5.157799931,79.77620825,-0.696982628
0,Ray,Pasture,Apr,2010,male,3,AminSP,10.24,242.1,1.816,-1.555620328,3.307799931,74.17620825,-1.638282628
0,Ray,Unknown,Apr,2010,male,3,AminDP,3.9,189.18,2.2078,-1.555620328,-3.032200069,21.25620825,-1.246482628
0,Ray,Human,Apr,2010,male,3,AminDP,4.55,163.92,2.2893,-1.555620328,-2.382200069,-4.003791747,-1.164982628
0,Ray,Unknown,Apr,2010,male,3,AminSP,5.72,231.1,0.6265,-1.555620328,-1.212200069,63.17620825,-2.827782628
0,Ray,Pasture,Apr,2010,male,3,AminSP,11.28,61.31,1.4176,-1.555620328,4.347799931,-106.6137917,-2.036682628
3,Ray,Pasture,Apr,2010,male,2,AminSP,11.24,277.26,2.2197,-2.555620328,4.307799931,109.3362083,-1.234582628
0,Ray,Pasture,Apr,2010,male,3,AlluvMIN,3.82,175.18,3.2696,-1.555620328,-3.112200069,7.256208253,-0.184682628
0,Ray,Human,Apr,2010,male,3,AminSW,7.05,153.51,0.2846,-1.555620328,0.117799931,-14.41379175,-3.169682628
1,Ray,Woodland,Apr,2010,male,2,AminDP,5.89,208.13,2.7619,-2.555620328,-1.042200069,40.20620825,-0.692382628
1,Ray,Arable,Apr,2010,male,2,AminDP,7.33,280.56,1.1091,-2.555620328,0.397799931,112.6362083,-2.345182628
0,Romeo,Pasture,Apr,2010,male,5,AminSW,9.65,173.02,2.4376,0.444379672,2.717799931,5.096208253,-1.016682628
0,Romeo,Human,Apr,2010,male,5,AminSW,9.99,206.54,0.6257,0.444379672,3.057799931,38.61620825,-2.828582628
1,Romeo,Unknown,Apr,2010,male,4,AminDW,9.26,116.68,3.158,-0.555620328,2.327799931,-51.24379175,-0.296282628
2,Romeo,Human,Apr,2010,male,4,AminDW,5.99,209.67,0.7256,-0.555620328,-0.942200069,41.74620825,-2.728682628
1,Romeo,Arable,Apr,2010,male,4,AminDP,6.68,138.27,12.0195,-0.555620328,-0.252200069,-29.65379175,8.565217372
0,Romeo,Arable,Apr,2010,male,5,AminDW,6.02,127.76,4.6852,0.444379672,-0.912200069,-40.16379175,1.230917372
0,Romeo,Pasture,Apr,2010,male,5,AminDW,7.98,96.83,6.422,0.444379672,1.047799931,-71.09379175,2.967717372
18,Romeo,Arable,Apr,2010,male,4,AminSW,7.01,109.82,8.4842,-0.555620328,0.077799931,-58.10379175,5.029917372
0,Romeo,Woodland,Apr,2010,male,5,AminSW,5.03,174.49,0.589,0.444379672,-1.902200069,6.566208253,-2.865282628
0,Romeo,Human,Apr,2010,male,5,AminSW,4.43,130.09,0.4589,0.444379672,-2.502200069,-37.83379175,-2.995382628
2,Romeo,Pasture,Apr,2010,male,4,AminDW,12.18,178.66,2.99,-0.555620328,5.247799931,10.73620825,-0.464282628
1,Romeo,Pasture,Apr,2010,male,4,AminSW,12.01,114.08,2.0734,-0.555620328,5.077799931,-53.84379175,-1.380882628
0,Romeo,Pasture,Apr,2010,male,5,AminDW,8.32,74.94,3.7231,0.444379672,1.387799931,-92.98379175,0.268817372
1,Romeo,Pasture,Apr,2010,male,4,AminSW,15.01,269.52,1.956,-0.555620328,8.077799931,101.5962083,-1.498282628
1,Romeo,Pasture,Apr,2010,male,4,AminDW,10.11,200.26,2.9071,-0.555620328,3.177799931,32.33620825,-0.547182628
