"y","a","b","c","d","e"
175,0,113,0,9366,1
87,0,119,1,10435,10
95,0,113,1,10224,10
112,0,126,0,2477,4
98,0,116,0,885,16
92,0,125,1,4730,21
131,0,112,0,9769,9
92,0,120,0,5641,20
153,0,129,0,10940,8
98,0,107,1,20,15
98,0,110,1,3815,7
112,NA,130,1,7620,13
102,0,120,1,5372,20
102,1,129,1,6075,3
132,0,120,0,2478,4
109,0,110,0,6696,8
98,0,119,1,10941,18
112,0,127,0,5527,20
120,0,114,0,4167,17
112,0,122,0,4731,21
98,0,108,1,7074,19
109,1,118,1,22,15
92,0,108,1,10225,10
142,0,108,0,1870,12
98,0,113,0,4169,17
NA,0,125,0,7075,19
131,0,111,0,1871,12
109,0,119,1,9367,1
131,1,117,1,23,15
92,0,124,0,4734,21
87,1,112,0,4732,21
98,0,119,0,4733,21
120,0,112,1,11337,2
102,0,125,1,6077,3
NA,NA,NA,NA,NA,10
102,0,121,0,5909,20
122,0,129,0,10942,18
120,0,116,0,7621,13
102,0,127,1,886,16
92,0,122,0,2479,4
82,1,117,0,367,15
77,0,113,0,7077,19
112,0,128,0,10227,10
120,0,116,1,7622,13
102,0,125,0,3138,4
109,0,118,1,6078,3
102,0,131,0,8797,6
142,0,128,1,4164,17
109,1,108,1,887,16
120,0,115,1,11339,2
102,0,113,1,7079,19
102,1,124,0,4170,17
153,0,118,1,3816,7
92,0,123,0,888,16
92,0,108,0,25,15
112,1,131,0,5746,20
142,0,127,1,3214,14
109,0,115,0,7623,13
112,0,130,1,8798,6
87,1,109,0,5376,20
92,0,130,0,26,15
98,1,114,1,2481,4
120,0,115,1,7624,13
109,0,113,1,1872,12
82,0,120,0,889,16
131,0,108,0,4735,21
112,1,126,1,9770,9
77,1,117,1,2482,4
142,0,118,1,4171,17
98,0,113,0,10228,10
130,0,114,0,6698,8
112,0,120,1,7625,13
122,0,121,1,3817,7
112,0,129,1,5377,20
82,0,127,0,5378,20
92,0,125,1,4736,21
98,0,115,0,11731,2
102,0,120,0,5379,20
120,NA,110,0,10944,18
122,0,130,0,10230,10
112,1,130,0,7626,13
102,1,127,0,8800,6
109,0,111,0,10231,10
98,1,116,0,10232,10
92,0,125,1,5736,20
131,0,115,1,4172,17
87,0,114,1,890,16
92,0,122,1,27,15
109,0,116,1,4737,21
92,0,130,0,5580,20
109,0,118,0,11342,2
82,1,131,1,28,15
102,0,127,1,2336,12
102,0,123,1,3754,14
98,0,108,0,6079,3
98,0,116,1,5383,20
122,0,122,1,4173,17
92,0,125,1,8324,11
131,0,112,1,10734,10
92,0,128,1,10873,10
122,0,127,0,5384,20
120,0,108,1,2484,4
112,0,124,1,11561,2
109,0,116,0,891,16
112,NA,127,1,1874,12
102,1,128,1,8481,11
142,0,109,1,4174,17
77,1,131,0,2485,4
120,0,113,1,892,16
87,0,113,0,3818,7
82,0,122,1,1875,12
142,0,116,0,5894,20
122,0,131,1,3217,14
120,0,119,1,7081,19
120,0,108,0,10236,10
112,0,124,1,3219,14
120,0,115,1,7627,13
NA,0,120,1,10237,10
87,0,115,0,7628,13
109,0,117,1,8802,6
87,NA,117,0,477,5
92,0,126,1,893,16
122,0,125,1,9771,22
87,1,110,1,29,15
112,0,123,1,6080,3
109,0,109,0,8803,6
102,0,125,0,7629,13
153,0,116,1,7630,13
92,0,125,0,4738,22
77,1,111,1,6699,8
131,0,119,0,7631,13
131,0,117,1,7083,19
102,NA,130,0,4739,21
109,0,108,1,9368,1
98,1,113,1,2486,4
109,0,112,1,7085,19
87,0,109,1,894,16
92,0,124,0,4111,7
102,0,130,1,11740,2
153,1,121,1,4740,21
132,0,131,0,9772,9
87,0,112,1,9773,9
109,0,108,1,896,16
102,0,124,1,1876,12
112,0,131,0,898,16
109,0,119,0,900,16
92,1,131,1,11346,2
112,0,125,0,10238,10
98,0,115,0,11348,2
92,0,131,0,1878,12
164,1,113,1,901,16
102,0,128,1,11350,2
120,0,113,1,10239,10
92,0,123,0,5386,20
109,0,108,1,7632,13
102,0,124,1,7087,19
82,0,130,1,11352,2
102,0,131,1,7633,13
87,0,109,1,30,15
92,0,121,1,10240,10
120,0,116,0,3820,7
109,0,108,1,8327,11
120,1,109,1,2487,4
122,0,120,1,7042,19
112,0,126,0,10945,18
98,0,113,1,6894,8
109,1,108,1,2488,4
87,NA,111,0,11354,11
NA,0,123,1,10946,18
109,1,108,0,2489,4
109,0,115,1,9774,9
87,1,116,0,8523,11
98,0,118,1,8409,11
120,0,115,0,1880,12
98,NA,114,0,6082,3
92,0,122,0,10241,10
120,1,108,1,4176,17
98,0,110,0,11805,2
102,0,130,1,478,10
98,0,108,0,9369,1
109,0,109,0,7634,13
132,0,131,1,2490,4
109,0,109,1,6083,3
NA,0,119,0,31,15
112,0,125,1,3220,14
NA,0,116,1,902,16
120,0,116,0,5388,20
102,0,120,1,8330,11
120,0,115,1,10832,10
87,0,110,1,903,16
109,0,118,0,4741,21
92,0,130,0,904,16
102,0,129,1,10449,10
112,1,126,1,9775,9
109,0,114,1,8805,6
87,1,108,0,2491,4
109,0,118,1,1881,12
122,0,126,0,3604,14
98,0,117,1,6043,20
122,0,127,0,3070,4
102,0,131,0,6000,20
109,0,109,0,8331,11
109,1,110,0,1882,12
87,1,110,0,480,5
87,0,113,1,5391,20
106,1,107,1,8598,11
92,0,125,0,7089,19
120,0,119,0,4742,21
92,0,131,0,3223,14
98,0,117,0,10244,10
120,0,118,1,5429,20
122,0,122,1,11547,2
112,0,120,0,5920,20
122,0,120,1,3765,14
82,NA,130,1,4580,17
142,0,120,1,8910,6
77,0,110,1,6269,3
92,0,123,1,5541,20
153,0,118,1,5542,20
87,0,112,1,1992,12
102,0,125,0,1104,16
87,1,115,1,2653,4
142,0,126,0,10429,10
98,0,117,1,10431,10
92,0,124,1,2654,4
109,0,113,1,11487,2
98,0,109,1,8436,11
98,0,113,0,3898,7
NA,1,108,0,11756,2
109,0,109,1,1106,16
NA,0,124,0,7347,19
132,0,125,1,1107,16
